"nichoir";"pulenv";"echec_fledg";"pop";"an"
"PIR24";2;0;"EPirio";"2008"
"PIR62";6;0;"EPirio";"2007"
"PIR62";4;2;"EPirio";"2008"
"PIR62";5;0;"EPirio";"2009"
"PIR62";6;0;"EPirio";"2010"
"PIR159";1;6;"EPirio";"2008"
"PIR16";5;0;"EPirio";"2007"
"PIR93";5;0;"EPirio";"2006"
"PIR93";7;1;"EPirio";"2007"
"PIR94";4;2;"EPirio";"2008"
"PIR79";6;0;"EPirio";"2009"
"PIR105";5;0;"EPirio";"2006"
"PIR107";7;0;"EPirio";"2007"
"PIR107";5;0;"EPirio";"2008"
"PIR107";4;1;"EPirio";"2009"
"PIR106";4;0;"EPirio";"2011"
"PIR107";4;0;"EPirio";"2013"
"PIR155";3;7;"EPirio";"2006"
"PIR2";7;0;"EPirio";"2007"
"FEL5";5;0;"DMuro";"2007"
"MUR23";9;0;"DMuro";"2007"
"AVA4";6;0;"DMuro";"2007"
"AVA10";9;0;"DMuro";"2007"
"PIR103";5;1;"EPirio";"2011"
"PIR6";0;5;"EPirio";"2008"
"PIR102";3;0;"EPirio";"2008"
"PIR98";7;0;"EPirio";"2009"
"PIR101";5;1;"EPirio";"2010"
"PIR52";5;0;"EPirio";"2008"
"PIR54";8;1;"EPirio";"2009"
"PIR60";7;0;"EPirio";"2010"
"PIR140";0;4;"EPirio";"2010"
"PIR97";6;0;"EPirio";"2008"
"PIR28";0;6;"EPirio";"2008"
"PIR96";7;0;"EPirio";"2008"
"PIR96";7;0;"EPirio";"2009"
"PIR96";6;1;"EPirio";"2010"
"PIR79";3;2;"EPirio";"2008"
"PIR85";3;1;"EPirio";"2008"
"FEL12";9;0;"DMuro";"2010"
"AVA18";9;0;"DMuro";"2009"
"MUR95";8;0;"DMuro";"2008"
"MUR45";9;0;"DMuro";"2007"
"PIR240";0;7;"EPirio";"2009"
"PIR97";6;0;"EPirio";"2006"
"PIR26";6;1;"EPirio";"2006"
"PIR124";6;0;"EPirio";"2007"
"PIR27";4;0;"EPirio";"2008"
"PIR34";4;0;"EPirio";"2009"
"PIR34";6;0;"EPirio";"2010"
"PIR91";7;0;"EPirio";"2006"
"PIR46";2;2;"EPirio";"2006"
"PIR208";8;0;"EPirio";"2007"
"MUR37";1;4;"DMuro";"2008"
"MUR87";0;6;"DMuro";"2009"
"MUR55";10;0;"DMuro";"2007"
"MUR38";4;2;"DMuro";"2008"
"MUR38";11;0;"DMuro";"2009"
"PIR207";7;0;"EPirio";"2006"
"PIR20";5;2;"EPirio";"2006"
"PIR21";5;0;"EPirio";"2007"
"PIR133";5;0;"EPirio";"2008"
"PIR22";7;0;"EPirio";"2009"
"PIR94";7;0;"EPirio";"2006"
"PIR97";8;0;"EPirio";"2007"
"PIR92";5;0;"EPirio";"2008"
"PIR41";4;3;"EPirio";"2006"
"PIR24";5;0;"EPirio";"2006"
"PIR20";6;2;"EPirio";"2007"
"PIR47";5;0;"EPirio";"2006"
"PIR47";2;1;"EPirio";"2007"
"PIR52";5;0;"EPirio";"2006"
"PIR153";7;0;"EPirio";"2007"
"PIR46";5;1;"EPirio";"2008"
"PIR118";5;0;"EPirio";"2009"
"PIR125";5;0;"EPirio";"2006"
"PIR68";0;6;"EPirio";"2007"
"PIR98";5;0;"EPirio";"2008"
"PIR24";4;4;"EPirio";"2007"
"PIR8";0;4;"EPirio";"2008"
"PIR130";6;0;"EPirio";"2009"
"PIR54";7;0;"EPirio";"2007"
"ARI19";7;0;"EMuro";"2007"
"ARI20";0;8;"EMuro";"2008"
"FIL11";6;0;"EMuro";"2007"
"AVA19";6;1;"DMuro";"2007"
"AVA19";8;0;"DMuro";"2008"
"ARI4";0;6;"EMuro";"2007"
"FIL1";0;6;"EMuro";"2007"
"GRA10";0;7;"EMuro";"2008"
"MUR57";7;0;"DMuro";"2009"
"PIR29";7;0;"EPirio";"2008"
"PIR25";7;1;"EPirio";"2009"
"PIR77";4;0;"EPirio";"2008"
"PIR232";0;7;"EPirio";"2009"
"PIR46";8;0;"EPirio";"2010"
"PIR126";6;0;"EPirio";"2011"
"PIR127";6;0;"EPirio";"2012"
"PIR157";5;1;"EPirio";"2013"
"PIR202";2;4;"EPirio";"2008"
"PIR73";9;0;"EPirio";"2010"
"PIR113";0;4;"EPirio";"2008"
"PIR111";8;0;"EPirio";"2009"
"ARI8";0;5;"EMuro";"2008"
"MUR48";10;0;"DMuro";"2008"
"MUR110";6;0;"DMuro";"2007"
"MUR48";7;0;"DMuro";"2007"
"MUR29";6;0;"DMuro";"2007"
"MUR35";9;1;"DMuro";"2010"
"AVA22";9;0;"DMuro";"2007"
"AVA9";10;0;"DMuro";"2007"
"MUR34";9;0;"DMuro";"2009"
"MUR88";7;2;"DMuro";"2011"
"MUR88";7;0;"DMuro";"2009"
"MUR86";10;0;"DMuro";"2009"
"MUR114";7;0;"DMuro";"2008"
"MUR105";8;2;"DMuro";"2007"
"ARI7";6;3;"EMuro";"2007"
"AVA13";5;2;"DMuro";"2007"
"AVA16";8;0;"DMuro";"2008"
"FEL9";6;0;"DMuro";"2008"
"MUR46";6;6;"DMuro";"2007"
"MUR58";6;0;"DMuro";"2007"
"MUR30";4;3;"DMuro";"2007"
"MUR31";2;10;"DMuro";"2009"
"MUR109";9;1;"DMuro";"2008"
"MUR33";9;0;"DMuro";"2012"
"GRA13";4;0;"EMuro";"2008"
"GRA19";5;0;"EMuro";"2009"
"GRA19";5;0;"EMuro";"2010"
"GRA19";5;2;"EMuro";"2011"
"FIL7";7;0;"EMuro";"2008"
"FIL6";7;0;"EMuro";"2009"
"FIL6";5;0;"EMuro";"2010"
"FIL6";6;0;"EMuro";"2011"
"FIL6";6;0;"EMuro";"2012"
"MUR54";8;0;"DMuro";"2008"
"MUR53";10;1;"DMuro";"2011"
"MUR53";6;1;"DMuro";"2010"
"MUR54";11;0;"DMuro";"2009"
"MUR89";8;0;"DMuro";"2008"
"AVA9";7;0;"DMuro";"2008"
"MUR95";0;10;"DMuro";"2009"
"MUR35";6;1;"DMuro";"2009"
"MUR35";7;1;"DMuro";"2008"
"MUR57";8;0;"DMuro";"2008"
"MUR59";9;0;"DMuro";"2009"
"MUR78";6;0;"DMuro";"2010"
"MUR51";7;0;"DMuro";"2009"
"FEL5";10;0;"DMuro";"2008"
"FEL5";11;0;"DMuro";"2009"
"MUR51";9;1;"DMuro";"2010"
"MUR46";0;10;"DMuro";"2011"
"MUR45";9;0;"DMuro";"2009"
"AVA4";9;0;"DMuro";"2008"
"AVA10";7;0;"DMuro";"2008"
"MUR93";11;1;"DMuro";"2009"
"FEL12";10;0;"DMuro";"2008"
"MUR56";8;1;"DMuro";"2010"
"AVA13";6;0;"DMuro";"2008"
"AVA7";4;0;"DMuro";"2008"
"AVA8";7;0;"DMuro";"2008"
"AVA1";7;0;"DMuro";"2008"
"AVA17";7;0;"DMuro";"2008"
"AVA14";6;2;"DMuro";"2011"
"MUR39";8;0;"DMuro";"2010"
"MUR45";8;0;"DMuro";"2011"
"ARI16";7;0;"EMuro";"2008"
"ARI22";7;0;"EMuro";"2009"
"MUR99";5;3;"DMuro";"2010"
"AVA6";8;1;"DMuro";"2011"
"FEL17";7;0;"DMuro";"2010"
"FEL15";7;0;"DMuro";"2008"
"MUR99";9;0;"DMuro";"2011"
"MUR99";6;0;"DMuro";"2009"
"MUR74";7;1;"DMuro";"2011"
"MUR89";8;0;"DMuro";"2010"
"GRA14";7;0;"EMuro";"2009"
"GRA14";7;0;"EMuro";"2010"
"GRA14";7;0;"EMuro";"2011"
"GRA18";8;0;"EMuro";"2013"
"GRA14";0;6;"EMuro";"2012"
"MUR47";8;0;"DMuro";"2009"
"MUR28";7;0;"DMuro";"2009"
"ARI5";7;0;"EMuro";"2009"
"ARI17";6;0;"EMuro";"2010"
"ARI4";5;0;"EMuro";"2009"
"ARI1";4;1;"EMuro";"2010"
"ARI3";0;6;"EMuro";"2009"
"GRA11";0;8;"EMuro";"2009"
"MUR36";8;1;"DMuro";"2010"
"MUR87";11;1;"DMuro";"2011"
"FIL11";3;5;"EMuro";"2008"
"FIL11";11;0;"EMuro";"2010"
"MUR29";8;0;"DMuro";"2008"
"ARI9";6;0;"EMuro";"2008"
"GRA7";5;0;"EMuro";"2009"
"GRA5";6;0;"EMuro";"2008"
"GRA7";5;1;"EMuro";"2010"
"GRA7";7;0;"EMuro";"2011"
"GRA7";5;0;"EMuro";"2008"
"ARI3";5;1;"EMuro";"2008"
"ARI21";6;0;"EMuro";"2010"
"PIR53";5;2;"EPirio";"2009"
"PIR53";6;1;"EPirio";"2010"
"ARI22";5;2;"EMuro";"2008"
"MUR91";9;0;"DMuro";"2009"
"MUR110";7;0;"DMuro";"2008"
"MUR101";7;0;"DMuro";"2009"
"GRA14";5;2;"EMuro";"2008"
"FIL14";0;6;"EMuro";"2008"
"GRA8";4;1;"EMuro";"2008"
"MUR43";9;0;"DMuro";"2010"
"PIR202";4;1;"EPirio";"2011"
"PIR202";0;4;"EPirio";"2012"
"PIR110";8;1;"EPirio";"2013"
"PIR1";6;2;"EPirio";"2014"
"PIR3";3;0;"EPirio";"2011"
"PIR134";5;1;"EPirio";"2011"
"PIR133";6;0;"EPirio";"2012"
"PIR6";6;0;"EPirio";"2013"
"PIR6";5;0;"EPirio";"2014"
"PIR85";6;1;"EPirio";"2015"
"PIR66";4;0;"EPirio";"2011"
"PIR66";3;0;"EPirio";"2012"
"PIR66";0;8;"EPirio";"2013"
"PIR105";0;5;"EPirio";"2011"
"PIR129";1;1;"EPirio";"2011"
"PIR135";1;0;"EPirio";"2011"
"PIR135";5;0;"EPirio";"2012"
"PIR34";5;0;"EPirio";"2013"
"PIR34";7;1;"EPirio";"2014"
"PIR34";3;3;"EPirio";"2015"
"PIR28";4;3;"EPirio";"2009"
"PIR25";5;0;"EPirio";"2010"
"PIR8";6;0;"EPirio";"2010"
"PIR5";4;1;"EPirio";"2011"
"PIR16";4;0;"EPirio";"2010"
"MUR91";8;0;"DMuro";"2010"
"MUR91";6;1;"DMuro";"2011"
"AVA1";10;0;"DMuro";"2010"
"AVA1";0;10;"DMuro";"2011"
"AVA15";9;0;"DMuro";"2009"
"AVA16";4;0;"DMuro";"2011"
"AVA13";3;0;"DMuro";"2012"
"PIR6";5;2;"EPirio";"2009"
"PIR6";7;0;"EPirio";"2010"
"PIR6";6;0;"EPirio";"2011"
"PIR7";6;0;"EPirio";"2012"
"PIR207";5;0;"EPirio";"2011"
"PIR118";6;0;"EPirio";"2007"
"PIR70";7;0;"EPirio";"2008"
"PIR244";6;0;"EPirio";"2009"
"PIR22";8;0;"EPirio";"2007"
"PIR156";7;0;"EPirio";"2007"
"PIR55";5;2;"EPirio";"2007"
"MUR72";10;1;"DMuro";"2011"
"MUR51";11;0;"DMuro";"2011"
"ARI17";5;1;"EMuro";"2007"
"ARI23";7;1;"EMuro";"2008"
"AVA12";7;1;"DMuro";"2008"
"PIR91";6;0;"EPirio";"2007"
"PIR33";8;0;"EPirio";"2007"
"PIR34";6;1;"EPirio";"2008"
"PIR37";9;0;"EPirio";"2007"
"PIR124";7;1;"EPirio";"2008"
"PIR25";5;1;"EPirio";"2007"
"PIR49";5;0;"EPirio";"2007"
"PIR103";3;3;"EPirio";"2008"
"PIR103";7;0;"EPirio";"2009"
"PIR43";9;0;"EPirio";"2007"
"PIR43";4;0;"EPirio";"2008"
"PIR119";7;0;"EPirio";"2009"
"PIR64";3;4;"EPirio";"2008"
"PIR69";0;7;"EPirio";"2009"
"PIR135";7;0;"EPirio";"2007"
"PIR134";0;5;"EPirio";"2008"
"PIR133";8;0;"EPirio";"2009"
"PIR133";2;6;"EPirio";"2010"
"PIR205";5;0;"EPirio";"2011"
"PIR137";6;0;"EPirio";"2007"
"PIR88";4;0;"EPirio";"2008"
"PIR1";2;0;"EPirio";"2009"
"PIR128";6;0;"EPirio";"2007"
"PIR95";6;1;"EPirio";"2007"
"PIR87";7;0;"EPirio";"2007"
"PIR87";6;0;"EPirio";"2008"
"PIR90";3;2;"EPirio";"2007"
"PIR203";5;2;"EPirio";"2008"
"PIR202";7;0;"EPirio";"2009"
"PIR75";5;2;"EPirio";"2008"
"PIR75";6;0;"EPirio";"2009"
"PIR74";3;1;"EPirio";"2011"
"PIR106";0;5;"EPirio";"2008"
"PIR47";0;4;"EPirio";"2008"
"PIR48";4;0;"EPirio";"2008"
"PIR42";4;0;"EPirio";"2009"
"PIR132";0;6;"EPirio";"2008"
"PIR38";4;2;"EPirio";"2008"
"PIR37";8;0;"EPirio";"2009"
"PIR119";7;0;"EPirio";"2011"
"PIR207";5;1;"EPirio";"2013"
"PIR71";1;0;"EPirio";"2014"
"PIR116";2;0;"EPirio";"2015"
"PIR74";3;2;"EPirio";"2012"
"PIR112";5;0;"EPirio";"2013"
"PIR72";2;1;"EPirio";"2014"
"PIR113";3;0;"EPirio";"2015"
"PIR80";3;4;"EPirio";"2011"
"PIR235";6;0;"EPirio";"2010"
"PIR30";7;0;"EPirio";"2009"
"PIR29";8;0;"EPirio";"2011"
"PIR120";6;0;"EPirio";"2009"
"PIR120";6;0;"EPirio";"2010"
"PIR46";7;0;"EPirio";"2011"
"PIR154";3;0;"EPirio";"2013"
"PIR122";5;0;"EPirio";"2009"
"PIR125";8;0;"EPirio";"2010"
"PIR39";2;4;"EPirio";"2011"
"PIR127";6;0;"EPirio";"2009"
"PIR234";0;7;"EPirio";"2011"
"PIR15";2;3;"EPirio";"2009"
"PIR113";4;2;"EPirio";"2009"
"PIR121";3;0;"EPirio";"2010"
"PIR124";5;0;"EPirio";"2012"
"MUR75";6;0;"DMuro";"2012"
"MUR75";7;1;"DMuro";"2013"
"MUR29";6;2;"DMuro";"2010"
"MUR38";11;0;"DMuro";"2010"
"PIR32";5;1;"EPirio";"2011"
"PIR235";6;0;"EPirio";"2009"
"PIR19";7;0;"EPirio";"2009"
"PIR40";4;1;"EPirio";"2009"
"PIR40";8;1;"EPirio";"2010"
"PIR42";7;0;"EPirio";"2011"
"PIR43";5;0;"EPirio";"2012"
"PIR158";6;0;"EPirio";"2010"
"PIR73";5;0;"EPirio";"2013"
"PIR74";3;2;"EPirio";"2014"
"PIR237";4;1;"EPirio";"2015"
"PIR1";7;1;"EPirio";"2010"
"PIR101";8;0;"EPirio";"2011"
"PIR37";7;0;"EPirio";"2010"
"PIR66";6;0;"EPirio";"2009"
"PIR65";6;1;"EPirio";"2010"
"PIR48";5;1;"EPirio";"2011"
"PIR155";7;0;"EPirio";"2009"
"PIR157";7;0;"EPirio";"2010"
"PIR157";0;7;"EPirio";"2011"
"PIR239";5;2;"EPirio";"2011"
"PIR239";8;0;"EPirio";"2012"
"PIR232";8;1;"EPirio";"2013"
"PIR239";5;2;"EPirio";"2014"
"PIR239";0;8;"EPirio";"2015"
"PIR105";0;4;"EPirio";"2012"
"PIR105";8;0;"EPirio";"2013"
"PIR105";5;2;"EPirio";"2014"
"PIR202";7;0;"EPirio";"2010"
"PIR112";5;0;"EPirio";"2011"
"PIR128";8;0;"EPirio";"2010"
"PIR154";4;0;"EPirio";"2010"
"PIR52";6;0;"EPirio";"2011"
"PIR155";7;1;"EPirio";"2012"
"PIR136";4;0;"EPirio";"2010"
"PIR107";5;1;"EPirio";"2010"
"PIR87";8;0;"EPirio";"2010"
"PIR87";5;0;"EPirio";"2011"
"PIR24";5;1;"EPirio";"2010"
"PIR85";4;0;"EPirio";"2011"
"MUR95";9;0;"DMuro";"2013"
"FIL16";0;9;"EMuro";"2009"
"FIL4";6;0;"EMuro";"2009"
"MUR114";3;0;"DMuro";"2009"
"MUR24";5;0;"DMuro";"2010"
"MUR21";6;0;"DMuro";"2009"
"FIL23";5;0;"EMuro";"2009"
"FIL22";0;7;"EMuro";"2010"
"FIL24";7;1;"EMuro";"2011"
"MUR22";10;1;"DMuro";"2010"
"MUR23";6;0;"DMuro";"2010"
"MUR22";9;0;"DMuro";"2011"
"MUR23";8;0;"DMuro";"2009"
"MUR79";5;4;"DMuro";"2009"
"AVA21";9;0;"DMuro";"2010"
"GRA19";6;0;"EMuro";"2008"
"GRA15";4;1;"EMuro";"2013"
"MUR77";6;0;"DMuro";"2010"
"MUR77";11;0;"DMuro";"2011"
"FEL19";6;0;"DMuro";"2009"
"MUR42";9;0;"DMuro";"2010"
"MUR93";0;10;"DMuro";"2010"
"MUR42";9;0;"DMuro";"2011"
"MUR40";9;0;"DMuro";"2010"
"MUR42";10;0;"DMuro";"2009"
"MUR86";7;1;"DMuro";"2010"
"MUR73";0;8;"DMuro";"2012"
"MUR53";11;0;"DMuro";"2013"
"ARI25";4;0;"EMuro";"2009"
"ARI4";6;0;"EMuro";"2010"
"ARI4";9;0;"EMuro";"2011"
"ARI10";7;0;"EMuro";"2010"
"AVA8";7;0;"DMuro";"2012"
"FIL16";5;1;"EMuro";"2013"
"FIL3";8;0;"EMuro";"2010"
"FIL3";8;0;"EMuro";"2011"
"FIL3";9;0;"EMuro";"2012"
"GRA5";6;0;"EMuro";"2009"
"GRA4";6;0;"EMuro";"2010"
"GRA2";7;0;"EMuro";"2011"
"MUR31";7;0;"DMuro";"2010"
"MUR30";6;0;"DMuro";"2009"
"MUR30";7;0;"DMuro";"2010"
"MUR30";9;0;"DMuro";"2011"
"MUR59";10;2;"DMuro";"2010"
"MUR40";10;0;"DMuro";"2009"
"MUR26";4;0;"DMuro";"2010"
"MUR26";9;0;"DMuro";"2011"
"MUR85";4;1;"DMuro";"2010"
"MUR25";10;0;"DMuro";"2009"
"MUR25";8;0;"DMuro";"2010"
"ARI3";5;0;"EMuro";"2010"
"ARI23";7;1;"EMuro";"2009"
"ARI24";9;0;"EMuro";"2011"
"ARI27";8;0;"EMuro";"2013"
"GRA8";8;0;"EMuro";"2009"
"GRA8";7;0;"EMuro";"2010"
"MUR55";8;1;"DMuro";"2010"
"MUR55";9;0;"DMuro";"2011"
"MUR57";9;0;"DMuro";"2011"
"GRA5";5;0;"EMuro";"2012"
"GRA6";6;0;"EMuro";"2010"
"GRA4";5;2;"EMuro";"2014"
"GRA3";4;0;"EMuro";"2013"
"MUR95";8;1;"DMuro";"2011"
"MUR33";10;0;"DMuro";"2011"
"MUR29";6;0;"DMuro";"2011"
"MUR23";9;0;"DMuro";"2011"
"MUR24";8;0;"DMuro";"2011"
"MUR27";10;0;"DMuro";"2011"
"MUR78";9;0;"DMuro";"2011"
"AVA5";2;1;"DMuro";"2009"
"PIR114";5;0;"EPirio";"2011"
"PIR121";0;9;"EPirio";"2011"
"PIR41";4;2;"EPirio";"2012"
"PIR126";5;1;"EPirio";"2013"
"PIR103";6;0;"EPirio";"2010"
"PIR101";3;2;"EPirio";"2012"
"PIR97";7;2;"EPirio";"2011"
"PIR62";4;0;"EPirio";"2011"
"PIR42";5;0;"EPirio";"2012"
"PIR41";9;0;"EPirio";"2013"
"PIR247";6;1;"EPirio";"2014"
"MUR32";6;1;"DMuro";"2011"
"FIL2";7;0;"EMuro";"2010"
"FIL2";8;1;"EMuro";"2011"
"ARI13";4;0;"EMuro";"2010"
"ARI21";8;1;"EMuro";"2011"
"ARI22";8;0;"EMuro";"2012"
"MUR39";5;0;"DMuro";"2012"
"ARI10";7;0;"EMuro";"2011"
"FIL25";5;1;"EMuro";"2010"
"FIL22";7;0;"EMuro";"2011"
"FIL24";6;0;"EMuro";"2012"
"MUR31";9;0;"DMuro";"2011"
"ARI18";6;0;"EMuro";"2010"
"ARI5";7;1;"EMuro";"2012"
"ARI2";4;3;"EMuro";"2013"
"MUR28";3;2;"DMuro";"2015"
"MUR40";8;0;"DMuro";"2011"
"MUR87";8;1;"DMuro";"2012"
"MUR55";8;0;"DMuro";"2012"
"MUR54";9;0;"DMuro";"2013"
"MUR101";4;3;"DMuro";"2014"
"MUR41";9;2;"DMuro";"2012"
"MUR42";9;0;"DMuro";"2013"
"MUR87";10;0;"DMuro";"2014"
"MUR87";9;0;"DMuro";"2015"
"MUR43";9;0;"DMuro";"2014"
"MUR43";8;0;"DMuro";"2015"
"MUR33";9;0;"DMuro";"2010"
"ARI23";7;0;"EMuro";"2011"
"GRA5";6;0;"EMuro";"2011"
"FIL15";6;0;"EMuro";"2011"
"GRA4";6;0;"EMuro";"2012"
"MUR44";7;0;"DMuro";"2010"
"PIR18";6;3;"EPirio";"2013"
"PIR14";4;0;"EPirio";"2014"
"ARI21";5;0;"EMuro";"2015"
"FIL20";6;0;"EMuro";"2014"
"GRA8";4;0;"EMuro";"2013"
"GRA1";8;0;"EMuro";"2012"
"GRA14";0;7;"EMuro";"2014"
"GRA11";0;7;"EMuro";"2015"
"FIL19";7;0;"EMuro";"2013"
"MUR74";3;3;"DMuro";"2012"
"MUR45";9;0;"DMuro";"2013"
"MUR45";9;0;"DMuro";"2014"
"FIL8";6;0;"EMuro";"2012"
"ARI8";8;0;"EMuro";"2012"
"ARI4";4;1;"EMuro";"2012"
"ARI4";7;0;"EMuro";"2013"
"ARI15";7;0;"EMuro";"2014"
"MUR37";7;0;"DMuro";"2010"
"MUR95";7;0;"DMuro";"2010"
"MUR27";9;0;"DMuro";"2012"
"MUR27";10;0;"DMuro";"2013"
"MUR27";7;1;"DMuro";"2015"
"MUR25";8;0;"DMuro";"2016"
"GRA1";7;0;"EMuro";"2014"
"GRA1";5;0;"EMuro";"2015"
"GRA17";6;0;"EMuro";"2011"
"GRA20";0;8;"EMuro";"2011"
"MUR57";6;1;"DMuro";"2010"
"MUR44";10;1;"DMuro";"2012"
"MUR48";11;0;"DMuro";"2012"
"MUR47";10;0;"DMuro";"2013"
"MUR48";9;1;"DMuro";"2014"
"MUR59";12;0;"DMuro";"2011"
"FIL25";5;0;"EMuro";"2011"
"FIL25";6;0;"EMuro";"2012"
"FIL1";4;2;"EMuro";"2011"
"FIL1";8;0;"EMuro";"2012"
"FIL8";6;2;"EMuro";"2011"
"FIL15";4;5;"EMuro";"2013"
"FIL12";8;0;"EMuro";"2014"
"FIL13";6;2;"EMuro";"2015"
"FIL15";7;0;"EMuro";"2016"
"FIL14";5;0;"EMuro";"2011"
"MUR89";9;0;"DMuro";"2011"
"MUR47";4;1;"DMuro";"2011"
"MUR42";8;0;"DMuro";"2012"
"MUR44";5;0;"DMuro";"2011"
"MUR28";4;3;"DMuro";"2011"
"MUR28";8;1;"DMuro";"2010"
"MUR56";8;0;"DMuro";"2011"
"MUR53";7;0;"DMuro";"2012"
"MUR45";9;1;"DMuro";"2010"
"GRA11";9;0;"EMuro";"2010"
"GRA11";9;0;"EMuro";"2011"
"GRA12";3;4;"EMuro";"2010"
"MUR43";9;0;"DMuro";"2011"
"MUR34";11;0;"DMuro";"2011"
"ARI5";7;0;"EMuro";"2011"
"FIL5";7;0;"EMuro";"2010"
"AVA3";5;0;"DMuro";"2010"
"AVA4";6;0;"DMuro";"2010"
"FEL8";6;0;"DMuro";"2010"
"GRA15";7;0;"EMuro";"2010"
"MUR85";7;1;"DMuro";"2011"
"GRA13";0;8;"EMuro";"2010"
"AVA9";0;6;"DMuro";"2010"
"ARI23";5;1;"EMuro";"2010"
"PIR158";5;0;"EPirio";"2011"
"PIR26";0;6;"EPirio";"2011"
"PIR22";5;0;"EPirio";"2012"
"PIR22";6;0;"EPirio";"2013"
"PIR26";6;0;"EPirio";"2014"
"PIR26";6;1;"EPirio";"2015"
"AVA5";0;7;"DMuro";"2012"
"AVA3";1;8;"DMuro";"2013"
"FIL12";1;4;"EMuro";"2010"
"ARI11";6;0;"EMuro";"2010"
"FIL17";0;6;"EMuro";"2010"
"FIL5";7;0;"EMuro";"2011"
"FIL5";6;0;"EMuro";"2012"
"FIL4";7;0;"EMuro";"2013"
"FIL6";8;0;"EMuro";"2014"
"FIL11";5;0;"EMuro";"2015"
"FEL10";2;0;"DMuro";"2010"
"ARI7";7;0;"EMuro";"2010"
"AVA16";7;0;"DMuro";"2010"
"AVA14";9;0;"DMuro";"2010"
"AVA10";0;7;"DMuro";"2012"
"FEL5";10;0;"DMuro";"2010"
"FEL1";0;8;"DMuro";"2011"
"MUR72";8;1;"DMuro";"2008"
"MUR22";7;0;"DMuro";"2012"
"MUR22";9;0;"DMuro";"2013"
"MUR22";6;0;"DMuro";"2014"
"MUR22";7;0;"DMuro";"2015"
"MUR23";4;1;"DMuro";"2016"
"FEL16";9;0;"DMuro";"2011"
"FEL11";3;6;"DMuro";"2012"
"FEL10";7;1;"DMuro";"2013"
"AVA12";9;0;"DMuro";"2010"
"AVA12";11;0;"DMuro";"2011"
"ARI15";4;1;"EMuro";"2011"
"ARI16";5;2;"EMuro";"2012"
"MUR24";0;8;"DMuro";"2009"
"AVA22";8;1;"DMuro";"2010"
"AVA11";5;0;"DMuro";"2010"
"MUR109";11;0;"DMuro";"2009"
"AVA18";7;0;"DMuro";"2010"
"AVA20";6;0;"DMuro";"2010"
"ARI16";7;0;"EMuro";"2013"
"FIL22";3;4;"EMuro";"2012"
"MUR28";7;0;"DMuro";"2008"
"MUR105";0;1;"DMuro";"2008"
"MUR46";8;0;"DMuro";"2012"
"MUR87";1;0;"DMuro";"2007"
"MUR42";5;4;"DMuro";"2008"
"ARI1";10;0;"EMuro";"2011"
"ARI1";10;0;"EMuro";"2012"
"ARI3";7;0;"EMuro";"2011"
"ARI3";7;0;"EMuro";"2012"
"ARI11";7;0;"EMuro";"2011"
"MUR56";7;1;"DMuro";"2012"
"AVA3";2;1;"DMuro";"2011"
"AVA4";8;0;"DMuro";"2011"
"AVA7";2;1;"DMuro";"2011"
"AVA9";9;0;"DMuro";"2011"
"AVA9";7;0;"DMuro";"2012"
"AVA13";9;0;"DMuro";"2011"
"MUR45";7;1;"DMuro";"2012"
