"";"chick_id";"clutch";"poids";"tarsed";"date_mesure";"age_plume";"docilite";"date_eclo"
"chick892";"chick892";"PIR20";9,3;15,3;2023-06-02;15,5;0;2023-05-19
"chick893";"chick893";"PIR22";10,9;16,4;2023-06-11;14,5;1;2023-05-28
"chick894";"chick894";"PIR22";10,4;16,3;2023-06-11;15;3;2023-05-28
"chick895";"chick895";"PIR22";10,9;16,8;2023-06-11;15;0;2023-05-28
"chick896";"chick896";"PIR22";10,8;16,6;2023-06-11;15;2;2023-05-28
"chick897";"chick897";"PIR34";10;16,7;2023-06-04;15;0;2023-05-20
"chick898";"chick898";"PIR34";10;15,8;2023-06-04;15,5;0;2023-05-20
"chick899";"chick899";"PIR34";10,1;16,1;2023-06-04;15;0;2023-05-20
"chick900";"chick900";"PIR34";10,1;16,6;2023-06-04;15;0;2023-05-20
"chick901";"chick901";"PIR34";10,3;15,8;2023-06-04;15;0;2023-05-20
"chick902";"chick902";"PIR34";9,7;16,1;2023-06-04;15;2;2023-05-20
"chick903";"chick903";"PIR34";10;16;2023-06-04;15;1;2023-05-20
"chick904";"chick904";"PIR39";9,9;16,4;2023-06-16;15;1;2023-06-02
"chick905";"chick905";"PIR39";9,8;16,7;2023-06-16;15;0;2023-06-02
"chick906";"chick906";"PIR39";8,9;15,8;2023-06-16;15;0;2023-06-02
"chick907";"chick907";"PIR39";9,4;15,4;2023-06-16;15;3;2023-06-02
"chick908";"chick908";"PIR39";8,9;16,1;2023-06-16;15;8;2023-06-02
"chick909";"chick909";"PIR39";9,3;15,8;2023-06-16;14;3;2023-06-02
"chick910";"chick910";"PIR39";9,9;16,3;2023-06-16;15;5;2023-06-02
"chick911";"chick911";"PIR39";9,9;16,5;2023-06-16;15;0;2023-06-02
"chick912";"chick912";"PIR39";9,2;16,4;2023-06-16;15;0;2023-06-02
"chick913";"chick913";"PIR40";9,6;16,2;2023-06-08;14,5;0;2023-05-26
"chick914";"chick914";"PIR40";9,4;16,4;2023-06-08;14;2;2023-05-26
"chick915";"chick915";"PIR40";9,6;15,3;2023-06-08;14,5;0;2023-05-26
"chick916";"chick916";"PIR40";9;15,8;2023-06-08;14,5;0;2023-05-26
"chick917";"chick917";"PIR40";9,3;15,6;2023-06-08;14,5;1;2023-05-26
"chick918";"chick918";"PIR40";9,5;16,1;2023-06-08;14,5;NA;2023-05-26
"chick919";"chick919";"PIR40";9,2;16,7;2023-06-08;14,5;0;2023-05-26
"chick920";"chick920";"PIR40";9,2;16;2023-06-08;14,5;0;2023-05-26
"chick921";"chick921";"PIR40";9,8;15,9;2023-06-08;14,5;3;2023-05-26
"chick922";"chick922";"PIR49";9,6;16,5;2023-06-06;15;3;2023-05-22
"chick923";"chick923";"PIR49";9,3;16,3;2023-06-06;15,5;3;2023-05-22
"chick924";"chick924";"PIR49";9,3;15,9;2023-06-06;15,5;1;2023-05-22
"chick925";"chick925";"PIR49";8,9;16;2023-06-06;15,5;2;2023-05-22
"chick926";"chick926";"PIR49";9,3;15,3;2023-06-06;15;4;2023-05-22
"chick927";"chick927";"PIR65";10,2;16,1;2023-06-03;15;2;2023-05-20
"chick928";"chick928";"PIR65";10,1;15,7;2023-06-03;14,5;1;2023-05-20
"chick929";"chick929";"PIR66";9,9;16,8;2023-05-31;15;0;2023-05-17
"chick930";"chick930";"PIR66";10,1;16,6;2023-05-31;15;2;2023-05-17
"chick931";"chick931";"PIR66";10;16,6;2023-05-31;15;2;2023-05-17
"chick932";"chick932";"PIR66";10,2;17;2023-05-31;15;1;2023-05-17
"chick933";"chick933";"PIR66";10,1;15,9;2023-05-31;14;0;2023-05-17
"chick934";"chick934";"PIR66";10,1;16;2023-05-31;14,5;3;2023-05-17
"chick935";"chick935";"PIR66";10,2;16,3;2023-05-31;15;2;2023-05-17
"chick936";"chick936";"PIR68";10;15,7;2023-06-10;15,5;3;2023-05-26
"chick937";"chick937";"PIR68";10,2;16,5;2023-06-10;15;0;2023-05-26
"chick938";"chick938";"PIR68";9,6;15,6;2023-06-10;15,5;1;2023-05-26
"chick939";"chick939";"PIR68";9,1;16,4;2023-06-10;15;4;2023-05-26
"chick940";"chick940";"PIR68";9,5;15,4;2023-06-10;14,5;1;2023-05-26
"chick941";"chick941";"PIR68";9,2;16;2023-06-10;15;3;2023-05-26
"chick942";"chick942";"PIR71";9,8;15,4;2023-06-05;14,5;0;2023-05-23
"chick943";"chick943";"PIR71";10,1;15,8;2023-06-05;14,5;0;2023-05-23
"chick944";"chick944";"PIR71";9,8;16,5;2023-06-05;14,5;0;2023-05-23
"chick945";"chick945";"PIR81";9,6;15,7;2023-06-05;15;1;2023-05-22
"chick946";"chick946";"PIR81";10,8;16,8;2023-06-05;15;3;2023-05-22
"chick947";"chick947";"PIR81";10,9;15,9;2023-06-05;15;1;2023-05-22
"chick948";"chick948";"PIR81";9,9;16;2023-06-05;15;3;2023-05-22
"chick949";"chick949";"PIR81";10,7;16,7;2023-06-05;15;2;2023-05-22
"chick950";"chick950";"PIR85";11,2;16,1;2023-06-07;14,5;0;2023-05-25
"chick951";"chick951";"PIR85";10,9;15,9;2023-06-07;15;0;2023-05-25
"chick952";"chick952";"PIR85";10,6;16,1;2023-06-07;15;0;2023-05-25
"chick953";"chick953";"PIR85";11,7;16;2023-06-07;15;0;2023-05-25
"chick954";"chick954";"PIR92";9,4;15,9;2023-06-10;15,5;0;2023-05-27
"chick955";"chick955";"PIR92";9,8;16,7;2023-06-10;15;2;2023-05-27
"chick956";"chick956";"PIR92";9,1;16,3;2023-06-10;15;1;2023-05-27
"chick957";"chick957";"PIR92";9,7;16,5;2023-06-10;15,5;2;2023-05-27
"chick958";"chick958";"PIR92";9,7;16,4;2023-06-10;15;1;2023-05-27
"chick959";"chick959";"PIR92";9,5;16,2;2023-06-10;15;2;2023-05-27
"chick960";"chick960";"PIR92";9,9;16,9;2023-06-10;15;2;2023-05-27
"chick961";"chick961";"PIR96";10,2;15,6;2023-06-15;15;1;2023-06-02
"chick962";"chick962";"PIR96";NA;16,5;2023-06-15;13;0;2023-06-02
"chick963";"chick963";"PIR96";9,3;16,1;2023-06-15;14;1;2023-06-02
"chick964";"chick964";"PIR96";10,2;16,3;2023-06-15;15;0;2023-06-02
"chick965";"chick965";"PIR96";10,6;16,7;2023-06-15;15,5;3;2023-06-02
"chick966";"chick966";"PIR96";10,2;16,5;2023-06-15;15;3;2023-06-02
"chick967";"chick967";"PIR96";10,1;16,4;2023-06-15;15;2;2023-06-02
"chick968";"chick968";"PIR100";9,9;15,9;2023-06-03;15,5;0;2023-05-19
"chick969";"chick969";"PIR100";9,5;16,1;2023-06-03;15;1;2023-05-19
"chick970";"chick970";"PIR100";9,1;16;2023-06-03;15;2;2023-05-19
"chick971";"chick971";"PIR100";9,6;16;2023-06-03;15,5;2;2023-05-19
"chick972";"chick972";"PIR100";10,1;16,3;2023-06-03;15,5;1;2023-05-19
"chick973";"chick973";"PIR100";9,8;17,2;2023-06-03;16;2;2023-05-19
"chick974";"chick974";"PIR100";10,1;16,7;2023-06-03;15,5;3;2023-05-19
"chick975";"chick975";"PIR101";10,7;16,2;2023-06-05;15;0;2023-05-22
"chick976";"chick976";"PIR101";10,3;15,2;2023-06-05;15,5;2;2023-05-22
"chick977";"chick977";"PIR101";9,7;15,9;2023-06-05;15,5;5;2023-05-22
"chick978";"chick978";"PIR101";10,5;16,2;2023-06-05;15;2;2023-05-22
"chick979";"chick979";"PIR101";10,7;16,3;2023-06-05;15,5;3;2023-05-22
"chick980";"chick980";"PIR101";10,5;16,3;2023-06-05;15,5;0;2023-05-22
"chick981";"chick981";"PIR101";10,1;15,5;2023-06-05;15;1;2023-05-22
"chick982";"chick982";"PIR102";10,3;16,1;2023-06-08;15;0;2023-05-25
"chick983";"chick983";"PIR102";9,5;16,2;2023-06-08;15,5;3;2023-05-25
"chick984";"chick984";"PIR102";9;15,9;2023-06-08;15,5;0;2023-05-25
"chick985";"chick985";"PIR105";9,2;16,9;2023-06-16;15,5;0;2023-06-02
"chick986";"chick986";"PIR105";9,9;16,7;2023-06-16;15,5;0;2023-06-02
"chick987";"chick987";"PIR105";8,8;15,6;2023-06-16;13;0;2023-06-02
"chick988";"chick988";"PIR105";9,2;16;2023-06-16;15,5;1;2023-06-02
"chick989";"chick989";"PIR105";9,5;16,6;2023-06-16;15;1;2023-06-02
"chick990";"chick990";"PIR105";9,3;16,2;2023-06-16;15;0;2023-06-02
"chick991";"chick991";"PIR105";9,2;NA;2023-06-16;12;0;2023-06-02
"chick992";"chick992";"PIR107";10,2;16,5;2023-06-05;14;1;2023-05-23
"chick993";"chick993";"PIR107";9,3;15,6;2023-06-05;13,5;0;2023-05-23
"chick994";"chick994";"PIR107";10,9;16,8;2023-06-05;15;0;2023-05-23
"chick995";"chick995";"PIR107";10,5;16,5;2023-06-05;13;0;2023-05-23
"chick996";"chick996";"PIR107";9,3;16,1;2023-06-05;15;0;2023-05-23
"chick997";"chick997";"PIR107";10,4;16,7;2023-06-05;15;3;2023-05-23
"chick998";"chick998";"PIR107";10,2;16,3;2023-06-05;15;3;2023-05-23
"chick999";"chick999";"PIR119";10,2;16;2023-05-31;14,5;1;2023-05-16
"chick1000";"chick1000";"PIR119";9,7;15,7;2023-05-31;15;1;2023-05-16
"chick1001";"chick1001";"PIR119";10,5;16,3;2023-05-31;15;1;2023-05-16
"chick1002";"chick1002";"PIR119";10,9;17;2023-05-31;14,5;3;2023-05-16
"chick1003";"chick1003";"PIR119";9,9;16,2;2023-05-31;15;0;2023-05-16
"chick1004";"chick1004";"PIR119";10,9;16,3;2023-05-31;15;1;2023-05-16
"chick1005";"chick1005";"PIR120";10;16,2;2023-06-02;15;0;2023-05-20
"chick1006";"chick1006";"PIR120";9,5;15,5;2023-06-02;15;0;2023-05-20
"chick1007";"chick1007";"PIR120";9,5;15,9;2023-06-02;14,5;0;2023-05-20
"chick1008";"chick1008";"PIR120";9,8;15,8;2023-06-02;14,5;0;2023-05-20
"chick1009";"chick1009";"PIR120";10,1;16,4;2023-06-02;15;0;2023-05-20
"chick1010";"chick1010";"PIR120";9,9;16,6;2023-06-02;14;0;2023-05-20
"chick1011";"chick1011";"PIR120";10,1;16,2;2023-06-02;15;0;2023-05-20
"chick1012";"chick1012";"PIR120";10,2;16,4;2023-06-02;14,5;0;2023-05-20
"chick1013";"chick1013";"PIR124";9,9;15,4;2023-06-02;15;1;2023-05-18
"chick1014";"chick1014";"PIR124";10,1;16,2;2023-06-02;15,5;1;2023-05-18
"chick1015";"chick1015";"PIR124";10,2;16,1;2023-06-02;15;0;2023-05-18
"chick1016";"chick1016";"PIR124";10,1;16;2023-06-02;16;1;2023-05-18
"chick1017";"chick1017";"PIR124";10,6;16,2;2023-06-02;15,5;0;2023-05-18
"chick1018";"chick1018";"PIR124";10;15,9;2023-06-02;15,5;0;2023-05-18
"chick1019";"chick1019";"PIR126";10;15,8;2023-06-09;13,5;0;2023-05-27
"chick1020";"chick1020";"PIR126";9,4;15,9;2023-06-09;14,5;1;2023-05-27
"chick1021";"chick1021";"PIR126";10,2;15,9;2023-06-09;15;1;2023-05-27
"chick1022";"chick1022";"PIR126";10,5;15,8;2023-06-09;14,5;1;2023-05-27
"chick1023";"chick1023";"PIR126";9,8;16,4;2023-06-09;14;0;2023-05-27
"chick1024";"chick1024";"PIR126";10,9;16,5;2023-06-09;14,5;0;2023-05-27
"chick1025";"chick1025";"PIR134";8,4;16,1;2023-06-20;15,5;1;2023-06-04
"chick1026";"chick1026";"PIR134";NA;16;2023-06-20;15;NA;2023-06-04
"chick1027";"chick1027";"PIR134";NA;16,2;2023-06-20;15,5;NA;2023-06-04
"chick1028";"chick1028";"PIR137";9,5;16,1;2023-06-07;14,5;1;2023-05-25
"chick1029";"chick1029";"PIR137";9,9;16,2;2023-06-07;14,5;2;2023-05-25
"chick1030";"chick1030";"PIR137";9,9;16,5;2023-06-07;14;0;2023-05-25
"chick1031";"chick1031";"PIR137";9,1;15,9;2023-06-07;14,5;0;2023-05-25
"chick1032";"chick1032";"PIR137";9,3;15,6;2023-06-07;15;1;2023-05-25
"chick1033";"chick1033";"PIR154";10,2;15,9;2023-06-06;15;2;2023-05-22
"chick1034";"chick1034";"PIR154";9;15,4;2023-06-06;15;0;2023-05-22
"chick1035";"chick1035";"PIR154";8,3;15,6;2023-06-06;13,5;3;2023-05-22
"chick1036";"chick1036";"PIR154";10,4;16,3;2023-06-06;13,5;0;2023-05-22
"chick1037";"chick1037";"PIR154";10;15,7;2023-06-06;15;0;2023-05-22
"chick1038";"chick1038";"PIR154";10;16,3;2023-06-06;15;1;2023-05-22
"chick1039";"chick1039";"PIR157";10,3;16,6;2023-06-13;15;0;2023-05-29
"chick1040";"chick1040";"PIR157";9,5;16,4;2023-06-13;15;2;2023-05-29
"chick1041";"chick1041";"PIR157";10,5;16,4;2023-06-13;15;0;2023-05-29
"chick1042";"chick1042";"PIR157";9;15,3;2023-06-13;15;3;2023-05-29
"chick1043";"chick1043";"PIR157";9,5;15,7;2023-06-13;15,5;2;2023-05-29
"chick1044";"chick1044";"PIR157";9,5;16;2023-06-13;15;1;2023-05-29
"chick1045";"chick1045";"PIR157";10;16,6;2023-06-13;15,5;3;2023-05-29
"chick1046";"chick1046";"PIR158";9,4;16,4;2023-06-01;15,5;0;2023-05-17
"chick1047";"chick1047";"PIR158";9,7;17,1;2023-06-01;16;1;2023-05-17
"chick1048";"chick1048";"PIR158";9,9;16,7;2023-06-01;15,5;0;2023-05-17
"chick1049";"chick1049";"PIR158";9,3;16,4;2023-06-01;16;0;2023-05-17
"chick1050";"chick1050";"PIR158";9,6;16,5;2023-06-01;16,5;0;2023-05-17
"chick1051";"chick1051";"PIR158";9,5;16,4;2023-06-01;15;2;2023-05-17
"chick1052";"chick1052";"PIR158";9,2;15,9;2023-06-01;15,5;0;2023-05-17
"chick1053";"chick1053";"PIR159";10,8;17;2023-06-06;15,5;3;2023-05-22
"chick1054";"chick1054";"PIR159";10;17,2;2023-06-06;15;0;2023-05-22
"chick1055";"chick1055";"PIR159";10,7;16,1;2023-06-06;14,5;0;2023-05-22
"chick1056";"chick1056";"PIR159";9,2;15,9;2023-06-06;15;2;2023-05-22
"chick1057";"chick1057";"PIR159";9,8;16,2;2023-06-06;15,5;3;2023-05-22
"chick1058";"chick1058";"PIR159";10;16,6;2023-06-06;15;2;2023-05-22
"chick1059";"chick1059";"PIR159";9,5;16;2023-06-06;16;3;2023-05-22
"chick1060";"chick1060";"PIR202";9,6;16,2;2023-06-18;15;2;2023-06-03
"chick1061";"chick1061";"PIR202";9,3;16,4;2023-06-18;15,5;0;2023-06-03
"chick1062";"chick1062";"PIR204";9,3;15,4;2023-06-08;14,5;1;2023-05-26
"chick1063";"chick1063";"PIR204";8,8;16;2023-06-08;14;1;2023-05-26
"chick1064";"chick1064";"PIR204";9,4;16;2023-06-08;15;0;2023-05-26
"chick1065";"chick1065";"PIR204";9,5;15,8;2023-06-08;13,5;0;2023-05-26
"chick1066";"chick1066";"PIR204";9,2;NA;2023-06-08;12;1;2023-05-26
"chick1067";"chick1067";"PIR204";8,6;15,6;2023-06-08;14,5;0;2023-05-26
"chick1068";"chick1068";"PIR204";9,6;15,3;2023-06-08;15;2;2023-05-26
"chick1069";"chick1069";"PIR205";10,6;16,8;2023-05-31;14,5;0;2023-05-16
"chick1070";"chick1070";"PIR205";9,2;16,1;2023-05-31;15;0;2023-05-16
"chick1071";"chick1071";"PIR205";9,4;15,8;2023-05-31;15;2;2023-05-16
"chick1072";"chick1072";"PIR205";10,1;16,6;2023-05-31;15;0;2023-05-16
"chick1073";"chick1073";"PIR205";9,9;16,8;2023-05-31;15,5;2;2023-05-16
"chick1074";"chick1074";"PIR205";10,3;16,6;2023-05-31;13,5;1;2023-05-16
"chick1075";"chick1075";"PIR205";10;16,3;2023-05-31;14,5;1;2023-05-16
"chick1076";"chick1076";"PIR208";10,5;16,3;2023-06-03;15;0;2023-05-19
"chick1077";"chick1077";"PIR208";10;16,6;2023-06-03;15,5;0;2023-05-19
"chick1078";"chick1078";"PIR208";10,9;16,8;2023-06-03;15;1;2023-05-19
"chick1079";"chick1079";"PIR208";10,5;16,3;2023-06-03;15,5;2;2023-05-19
"chick1080";"chick1080";"PIR208";9,4;15,4;2023-06-03;15,5;0;2023-05-19
"chick1081";"chick1081";"PIR208";10,3;16,3;2023-06-03;15;1;2023-05-19
"chick1082";"chick1082";"PIR208";9,9;16,2;2023-06-03;15;1;2023-05-19
"chick1083";"chick1083";"PIR232";10;16,1;2023-06-02;15;1;2023-05-18
"chick1084";"chick1084";"PIR232";9,4;15,6;2023-06-02;15;1;2023-05-18
"chick1085";"chick1085";"PIR232";9,7;15,6;2023-06-02;15;2;2023-05-18
"chick1086";"chick1086";"PIR232";9,8;16;2023-06-02;14,5;1;2023-05-18
"chick1087";"chick1087";"PIR232";9,6;15,5;2023-06-02;14,5;0;2023-05-18
"chick1088";"chick1088";"PIR232";10,1;16,6;2023-06-02;15,5;1;2023-05-18
"chick1089";"chick1089";"PIR234";9,8;16;2023-06-06;15,5;1;2023-05-22
"chick1090";"chick1090";"PIR234";10;16,4;2023-06-06;15;1;2023-05-22
"chick1091";"chick1091";"PIR234";9,3;16;2023-06-06;15;0;2023-05-22
"chick1092";"chick1092";"PIR234";9;15,4;2023-06-06;15;0;2023-05-22
"chick1093";"chick1093";"PIR234";9,9;16,3;2023-06-06;15;0;2023-05-22
"chick1094";"chick1094";"PIR234";9,9;16,5;2023-06-06;15,5;1;2023-05-22
"chick1095";"chick1095";"PIR235";8,8;15,4;2023-06-04;15;1;2023-05-20
"chick1096";"chick1096";"PIR235";9,9;16,7;2023-06-04;15;3;2023-05-20
"chick1097";"chick1097";"PIR235";9,6;16;2023-06-04;15;3;2023-05-20
"chick1098";"chick1098";"PIR235";9,8;16;2023-06-04;15;6;2023-05-20
"chick1099";"chick1099";"PIR235";9,7;16,8;2023-06-04;15;3;2023-05-20
"chick1100";"chick1100";"PIR235";9,6;16;2023-06-04;14,5;3;2023-05-20
"chick1101";"chick1101";"PIR235";9,8;16,6;2023-06-04;15,5;5;2023-05-20
"chick1102";"chick1102";"PIR235";9,9;16,9;2023-06-04;15;3;2023-05-20
"chick1103";"chick1103";"PIR239";9,2;14,8;2023-06-02;15,5;4;2023-05-19
"chick1104";"chick1104";"PIR239";9,9;15,4;2023-06-02;15,5;0;2023-05-19
"chick1105";"chick1105";"PIR239";10,2;15,5;2023-06-02;15;0;2023-05-19
"chick1106";"chick1106";"PIR239";9,4;15,3;2023-06-02;16;0;2023-05-19
"chick1107";"chick1107";"PIR239";10,8;16,3;2023-06-02;16;1;2023-05-19
"chick1108";"chick1108";"PIR246";10;15,4;2023-05-27;14,5;1;2023-05-12
"chick1109";"chick1109";"PIR246";9,8;15,5;2023-05-27;15;1;2023-05-12
"chick1110";"chick1110";"PIR246";9,6;15,3;2023-05-27;15,5;2;2023-05-12
"chick1111";"chick1111";"PIR246";9,5;15,5;2023-05-27;15;0;2023-05-12
"chick1112";"chick1112";"PIR246";10,2;16,2;2023-05-27;15;0;2023-05-12
"chick1113";"chick1113";"PIR246";10,4;16;2023-05-27;15;2;2023-05-12
"chick1114";"chick1114";"PIR246";10,2;16,1;2023-05-27;15;3;2023-05-12
"chick1115";"chick1115";"PIR246";10,7;16,1;2023-05-27;15,5;0;2023-05-12
"chick1116";"chick1116";"PIR247";9,6;15,9;2023-05-30;14;2;2023-05-17
"chick1117";"chick1117";"PIR247";9,9;16,5;2023-05-30;15;2;2023-05-17
"chick1118";"chick1118";"PIR247";9,6;15,6;2023-05-30;15;1;2023-05-17
"chick1119";"chick1119";"PIR247";9,1;16,2;2023-05-30;14,5;0;2023-05-17
"chick1120";"chick1120";"PIR247";9,9;16,1;2023-05-30;15;0;2023-05-17
"chick1121";"chick1121";"PIR247";9,7;16;2023-05-30;15;2;2023-05-17
"chick1122";"chick1122";"PIR247";9,6;16;2023-05-30;14,5;3;2023-05-17
"chick1123";"chick1123";"PIR247";10;16,2;2023-05-30;15;1;2023-05-17
"chick1124";"chick1124";"PIRB";9,8;16,1;2023-06-04;15;1;2023-05-20
"chick1125";"chick1125";"PIRB";10;15,5;2023-06-04;15,5;1;2023-05-20
"chick1126";"chick1126";"PIRB";9,7;16,2;2023-06-04;15;2;2023-05-20
"chick1127";"chick1127";"PIRB";10;16,1;2023-06-04;15,5;1;2023-05-20
"chick1128";"chick1128";"PIRB";9,5;15,5;2023-06-04;15,5;2;2023-05-20
"chick1129";"chick1129";"PIRB";10;15,8;2023-06-04;15,5;1;2023-05-20
"chick1130";"chick1130";"TUA215";5,3;15;2023-06-03;15;0;2023-05-19
"chick1131";"chick1131";"TUA215";7,2;15,8;2023-06-03;15;4;2023-05-19
"chick1132";"chick1132";"TUA215";7,9;15,5;2023-06-03;15,5;6;2023-05-19
"chick1133";"chick1133";"TUA215";6,7;14,6;2023-06-03;15,5;3;2023-05-19
"chick1134";"chick1134";"TUA215";6,9;15,7;2023-06-03;15,5;3;2023-05-19
"chick1135";"chick1135";"TUA215";6,9;15,7;2023-06-03;14,5;0;2023-05-19
"chick1136";"chick1136";"TUA215";7,5;15,7;2023-06-03;15,5;4;2023-05-19
"chick1137";"chick1137";"TUA217";9,6;15,2;2023-06-01;15;1;2023-05-18
"chick1138";"chick1138";"TUA217";9,9;16;2023-06-01;14,5;0;2023-05-18
"chick1139";"chick1139";"TUA217";10,4;15,8;2023-06-01;15;0;2023-05-18
"chick1140";"chick1140";"TUA217";8,7;16;2023-06-01;14;2;2023-05-18
"chick1141";"chick1141";"TUA217";9,4;16,2;2023-06-01;14;0;2023-05-18
"chick1142";"chick1142";"TUA217";9,7;15,9;2023-06-01;14,5;1;2023-05-18
"chick1143";"chick1143";"TUA217";9,8;16,3;2023-06-01;14,5;0;2023-05-18
"chick1144";"chick1144";"TUA218";9,8;17,1;2023-05-30;15;0;2023-05-15
"chick1145";"chick1145";"TUA218";8,9;15,7;2023-05-30;15;2;2023-05-15
"chick1146";"chick1146";"TUA218";9,7;16,1;2023-05-30;15;2;2023-05-15
"chick1147";"chick1147";"TUA218";9,3;16,3;2023-05-30;14,5;2;2023-05-15
"chick1148";"chick1148";"TUA218";9,6;16,4;2023-05-30;15;0;2023-05-15
"chick1149";"chick1149";"TUA222";9,6;16,9;2023-06-05;14,5;0;2023-05-23
"chick1150";"chick1150";"TUA222";11,5;17,3;2023-06-05;14,5;0;2023-05-23
"chick1151";"chick1151";"TUA222";10,3;NA;2023-06-05;12;0;2023-05-23
"chick1152";"chick1152";"TUA222";10,4;17;2023-06-05;14,5;0;2023-05-23
"chick1153";"chick1153";"TUA222";11,4;17,8;2023-06-05;13,5;0;2023-05-23
"chick1154";"chick1154";"TUA222";9,1;NA;2023-06-05;10;NA;2023-05-23
"chick1155";"chick1155";"TUA222";11,2;17;2023-06-05;15;3;2023-05-23
"chick1156";"chick1156";"TUA222";10,4;16,1;2023-06-05;14,5;0;2023-05-23
"chick1157";"chick1157";"TUA223";10,1;16,4;2023-06-01;15;0;2023-05-18
"chick1158";"chick1158";"TUA223";10,3;16,2;2023-06-01;14,5;0;2023-05-18
"chick1159";"chick1159";"TUA223";10,6;16,2;2023-06-01;14,5;2;2023-05-18
"chick1160";"chick1160";"TUA223";10,5;16,2;2023-06-01;14,5;0;2023-05-18
"chick1161";"chick1161";"TUA223";9,6;15,7;2023-06-01;15;0;2023-05-18
"chick1162";"chick1162";"TUA224";9,9;16,8;2023-06-01;13,5;0;2023-05-18
"chick1163";"chick1163";"TUA224";9,2;16,4;2023-06-01;14,5;0;2023-05-18
"chick1164";"chick1164";"TUA224";10;16,8;2023-06-01;14,5;2;2023-05-18
"chick1165";"chick1165";"TUA224";10,3;16,5;2023-06-01;14;0;2023-05-18
"chick1166";"chick1166";"TUA224";9,1;15,9;2023-06-01;13,5;0;2023-05-18
"chick1167";"chick1167";"TUA224";9,9;16,4;2023-06-01;14,5;3;2023-05-18
"chick1168";"chick1168";"TUA224";9,7;16,2;2023-06-01;14;2;2023-05-18
"chick1169";"chick1169";"TUA224";10,1;16,9;2023-06-01;14;1;2023-05-18
"chick1170";"chick1170";"TUA224";9,5;16;2023-06-01;14,5;3;2023-05-18
"chick1171";"chick1171";"TUA225-1";9,1;15,8;2023-05-30;15,5;2;2023-05-15
"chick1172";"chick1172";"FEL13-1";10,3;16,1;2023-05-08;15,5;2;2023-04-23
"chick1173";"chick1173";"AVA9-2";8,7;15,5;2023-06-22;16;0;2023-06-08
"chick1174";"chick1174";"AVA9-2";8,3;16,2;2023-06-22;15;0;2023-06-08
"chick1175";"chick1175";"AVA9-2";7,7;15,1;2023-06-22;14;0;2023-06-08
"chick1176";"chick1176";"AVA9-2";8,9;16,9;2023-06-22;16;0;2023-06-08
"chick1177";"chick1177";"AVA9-2";8,5;16;2023-06-22;15;0;2023-06-08
"chick1178";"chick1178";"AVA9-2";9;16,2;2023-06-22;15;0;2023-06-08
"chick1179";"chick1179";"MUR24-2";9,2;16;2023-06-22;14;0;2023-06-09
"chick1180";"chick1180";"MUR24-2";9,4;16,6;2023-06-22;14,5;0;2023-06-09
"chick1181";"chick1181";"PIR9";9,2;16;2023-06-29;15,5;NA;2023-06-14
"chick1182";"chick1182";"PIR9";7,3;14,7;2023-06-29;14,5;NA;2023-06-14
